"","DistCode","DistName","SchCode","Year","SchName","SchType","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"126","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","iepdata","SWD","ELA",0,0,0,0,0,0,0,0,0
"127","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","lep","Not ELL","ELA",0,0,0,0,0,0,0,0,0
"128","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","lunchdata","Yes","ELA",0,0,0,0,0,0,0,0,0
"129","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","migrant","No","ELA",0,0,0,0,0,0,0,0,0
"130","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","military","No","ELA",0,0,0,0,0,0,0,0,0
"131","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","BL7","ELA",0,0,0,0,0,0,0,0,0
"132","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","HI7","ELA",0,0,0,0,0,0,0,0,0
"133","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","WH7","ELA",0,0,0,0,0,0,0,0,0
"134","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","sex","Female","ELA",0,0,0,0,0,0,0,0,0
"135","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","All Students","All","Math",0,0,0,0,0,0,0,0,0
"136","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","foster","No","Math",0,0,0,0,0,0,0,0,0
"137","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Grade","11","Math",0,0,0,0,0,0,0,0,0
"138","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","homeless","No","Math",0,0,0,0,0,0,0,0,0
"139","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","iepdata","NOT SWD","Math",0,0,0,0,0,0,0,0,0
"140","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","iepdata","SWD","Math",0,0,0,0,0,0,0,0,0
"141","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","lep","Not ELL","Math",0,0,0,0,0,0,0,0,0
"142","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","lunchdata","Yes","Math",0,0,0,0,0,0,0,0,0
"143","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","migrant","No","Math",0,0,0,0,0,0,0,0,0
"144","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","military","No","Math",0,0,0,0,0,0,0,0,0
"145","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","BL7","Math",0,0,0,0,0,0,0,0,0
"146","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","HI7","Math",0,0,0,0,0,0,0,0,0
"147","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","Race7","WH7","Math",0,0,0,0,0,0,0,0,0
"148","42","Sheila Skip Nowell Leadership Academy","04603","2018","Unknown","Unknown","sex","Female","Math",0,0,0,0,0,0,0,0,0
"149","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","All Students","All","ELA",0,0,0,0,0,0,0,0,0
"150","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","foster","No","ELA",0,0,0,0,0,0,0,0,0
"151","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Grade","11","ELA",0,0,0,0,0,0,0,0,0
"152","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","homeless","No","ELA",0,0,0,0,0,0,0,0,0
"153","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","iepdata","NOT SWD","ELA",0,0,0,0,0,0,0,0,0
"154","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","iepdata","SWD","ELA",0,0,0,0,0,0,0,0,0
"155","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lep","ELL","ELA",0,0,0,0,0,0,0,0,0
"156","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lep","Not ELL","ELA",0,0,0,0,0,0,0,0,0
"157","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lunchdata","No","ELA",0,0,0,0,0,0,0,0,0
"158","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lunchdata","Yes","ELA",0,0,0,0,0,0,0,0,0
"159","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","migrant","No","ELA",0,0,0,0,0,0,0,0,0
"160","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","military","No","ELA",0,0,0,0,0,0,0,0,0
"161","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Race7","BL7","ELA",0,0,0,0,0,0,0,0,0
"162","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Race7","HI7","ELA",0,0,0,0,0,0,0,0,0
"163","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Race7","MU7","ELA",0,0,0,0,0,0,0,0,0
"164","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Race7","WH7","ELA",0,0,0,0,0,0,0,0,0
"165","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","sex","Female","ELA",0,0,0,0,0,0,0,0,0
"166","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","sex","Male","ELA",0,0,0,0,0,0,0,0,0
"167","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","All Students","All","Math",0,0,0,0,0,0,0,0,0
"168","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","foster","No","Math",0,0,0,0,0,0,0,0,0
"169","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","Grade","11","Math",0,0,0,0,0,0,0,0,0
"170","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","homeless","No","Math",0,0,0,0,0,0,0,0,0
"171","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","iepdata","NOT SWD","Math",0,0,0,0,0,0,0,0,0
"172","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","iepdata","SWD","Math",0,0,0,0,0,0,0,0,0
"173","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lep","ELL","Math",0,0,0,0,0,0,0,0,0
"174","42","Sheila Skip Nowell Leadership Academy","28610","2018","Sheila Skip Nowell Leadership Academy","6-12","lep","Not ELL","Math",0,0,0,0,0,0,0,0,0
